horizon,rows_total,rows_test,model_present,baseline_mae,baseline_rmse,baseline_r2,model_mae,model_rmse,model_r2
short,2471,493,True,0.01380572078137434,0.01842554507893439,-0.9607935926895519,0.011526880046404871,0.01552840950253482,-0.3926601256861839
long,2409,481,True,0.08540793933718188,0.10544754857943521,-0.01528488601145006,0.09195109048637837,0.11393604039981693,-0.18532430681924805
